timestamp,episode,rounds,winrate_p1,winrate_p2,avg_kills_p1,avg_kills_p2,avg_alive_p1,avg_alive_p2,avg_score_p1,avg_score_p2
1771518874,1,1,1.0000,0.0000,0.0000,0.0000,95.8667,95.6000,-1448.0294,-1145.4703
1771518875,1,1,1.0000,0.0000,0.0000,0.0000,87.6000,87.3333,-2502.5378,-1694.0512
1771518875,1,1,0.0000,1.0000,0.0000,0.0000,84.6667,84.9333,-199.7441,-618.0863
1771518876,1,1,1.0000,0.0000,0.0000,0.0000,112.1333,112.0000,-4255.3656,-2879.3537
1771518878,1,1,1.0000,0.0000,0.0000,0.0000,115.4667,115.3333,-4023.2248,-3382.7952
1771518879,1,1,0.0000,1.0000,0.0000,0.0000,34.2667,34.4000,-4.6713,812.5234
1771518879,1,1,1.0000,0.0000,0.0000,0.0000,164.2667,164.2667,-3778.5797,-2686.1786
1771518881,1,1,1.0000,0.0000,0.0000,0.0000,82.6667,82.4000,-2272.3907,-3617.4551
1771518884,1,1,1.0000,0.0000,0.0000,0.0000,103.4667,103.4667,-1903.3465,-997.1898
1771518884,1,1,1.0000,0.0000,0.0000,0.0000,79.3333,78.9333,-1486.5521,-1251.4143
1771518884,1,1,1.0000,0.0000,0.0000,0.0000,70.8000,70.5333,-184.3235,-291.1427
1771518886,1,1,1.0000,0.0000,0.0000,0.0000,91.0667,90.8000,-1842.1445,-1413.6300
1771518887,1,1,0.0000,1.0000,0.0000,0.0000,88.5333,88.9333,-2772.3823,-1601.6638
1771518887,1,1,1.0000,0.0000,0.0000,0.0000,97.6000,97.4667,-3696.8773,-3106.0373
1771518888,1,1,0.0000,1.0000,0.0000,0.0000,101.0667,101.4667,-1892.6659,-1073.5237
1771518888,1,1,0.0000,1.0000,0.0000,0.0000,146.9333,147.3333,-2276.0400,-838.8156
1771518892,1,1,0.0000,1.0000,0.0000,0.0000,49.4667,50.1333,-598.2074,847.8566
1771518900,1,1,0.0000,1.0000,0.0000,0.0000,114.2667,114.6667,-2264.6918,-2201.6799
1771518901,1,1,1.0000,0.0000,0.0000,0.0000,76.4000,75.7333,-1017.1219,-1357.1663
1771518902,1,1,0.0000,1.0000,0.0000,0.0000,85.3333,85.4667,-968.4942,-38.1464
1771518903,1,1,1.0000,0.0000,0.0000,0.0000,54.5333,54.2667,-279.9173,-77.1714
1771518904,1,1,1.0000,0.0000,0.0000,0.0000,82.0000,81.7333,-1393.0638,-1086.3438
1771518905,1,1,0.0000,1.0000,0.0000,0.0000,85.6000,86.2667,-1671.4429,158.3340
1771518906,1,1,1.0000,0.0000,0.0000,0.0000,76.8000,76.2667,-1312.3187,-1499.9932
1771518906,1,1,1.0000,0.0000,0.0000,0.0000,57.0667,56.5333,-372.9079,-571.5027
1771518908,1,1,1.0000,0.0000,0.0000,0.0000,99.8667,99.6000,-5771.6553,-5044.4064
1771518908,1,1,1.0000,0.0000,0.0000,0.0000,83.8667,83.6000,-1584.7896,-1816.5896
1771518910,1,1,1.0000,0.0000,0.0000,0.0000,109.7333,109.6000,-1782.3745,-1334.5194
1771518911,1,1,1.0000,0.0000,0.0000,0.0000,102.0000,102.1333,-2002.9913,-2001.3522
